@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L6,7-weka.filters.unsupervised.attribute.AddValues-C11-L6,7,8-weka.filters.unsupervised.attribute.AddValues-C12-L6,7,8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-L1-5-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4}

@data
83,'2018/10/08 17:04:31:873',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
84,'2018/10/08 17:04:31:905',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
85,'2018/10/08 17:04:31:941',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
86,'2018/10/08 17:04:31:972',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
87,'2018/10/08 17:04:32:007',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
88,'2018/10/08 17:04:32:039',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
89,'2018/10/08 17:04:32:072',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
90,'2018/10/08 17:04:32:106',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
91,'2018/10/08 17:04:32:143',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
92,'2018/10/08 17:04:32:173',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
93,'2018/10/08 17:04:32:206',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
94,'2018/10/08 17:04:32:240',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
95,'2018/10/08 17:04:32:272',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
96,'2018/10/08 17:04:32:306',2,-0.058824,0.780392,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
97,'2018/10/08 17:04:32:342',2,-0.058824,0.780392,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
98,'2018/10/08 17:04:32:373',2,-0.058824,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
